Переменная|Англ.|Русс.|Перевод
common.models.plefse_phone|Please enter phone number|Пожалуйста, введите номер телефона|Vă rugăm, să introduceți nr. de telefon
common.models.fill_phone|Please enter your phone number|Пожалуйста, введите свой номер телефона|Vă rugăm să introduceți nr. Dvs. de telefon
common.models.catalog_base.category|Please indicate category of product|Укажите категорию товара|Indicați categoria produsului
frontend.controllers.vendor.cat_error_fourteen|Please indicate<strong>a Certain Name</strong>of catalogue|Укажите корректное  <strong>Имя</strong> каталога|Specificați corectă  <strong>Denumirea</strong> catalogului
frontend.excel.please|Please pay attention to the comments to the goods. It is important!|Пожалуйста, обратите внимание на комментарии к товарам. Это важно!|Vă rugăm să acordați atenție comentariilor la produse. Acest lucru este important!
frontend.controllers.client.please|Please try to save again|Пожалуйста, повторите попытку сохранения|Încercați să salvați din nou.
common.models.please|Please write how would you want me to call you?|Пожалуйста, напишите, как к вам обращаться|Vă rugăm să scrieți cum să ținem legătura cu Dvs.
Пожалуйста, напишите название организации|Please write the name of the organization|Пожалуйста, напишите название организации|Vă rugăm să scrieți denumirea organizației
Польша|Poland|Польша|Polonia
Гранат|Pomegranate|Гранат|Rodie
market.views.site.index.popular|Popular products|Популярные товары|Produse populare
Свинина|Pork|Свинина|Carne de porc
Португалия|Portugal|Португалия|Portugalia
frontend.views.site.switch_on|Posting your catalogues of products turn a visualization on Market place. Your prospective customers can see your products and make orders. |Размещая свои каталоги продуктов, включите отображение ваших продуктов, на маркет плейсе. Ваши потенциальные клиенты смогут видеть ваши продукты и делать заказы.|La plasarea cataloagelor produselor, activați afișarea produselor dvs. pe MarketPlace. Clienții potențiali vă vor putea vedea produsele și face comenzi.
Картофель|Potato|Картофель|cartofi
Птица|Poultry|Птица|păsări de curte
franchise.views.site.rest_present|Presentation for restaurants|Презентация для ресторанов|Prezentare pentru restaurante
franchise.views.site.vendor_present|Presentation for suppliers|Презентация для поставщиков|Prezentare pentru furnizori
franchise.views.site.presentations|Presentations|Презентации|prezentări
franchise.views.site.semi|Presentations_mixcart_seminar_102017.tar.gz|Презентации_mixcart_семинар_102017.tar.gz|Prezentatii_mixcart_seminar_102017.tar.gz
market.views.site.category.price|Price|Цена|preț
frontend.views.client.suppliers.var4|Price (RUB)|Цена (руб)|Preț (ruble)
frontend.views.vendor.prices_correct|Price adjustment|Корректировка цен|Ajustarea prețurilor
frontend.views.vendor.price_for_one|Price for the definite quantity unit (or certain number of units) of products indicated in measurement units that are usually applied for such product in commerce (weight, length, area, volume, pieces, sets, and etc.)|Цена за определенную количественную единицу (или за определенное число единиц) товара, указанную в обычно применяемых в торговле данным товаром единицах измерения (веса, длины, площади, объема, штук, комплектов и т. д.)|Prețul pentru o unitate cantitativă (sau pentru un anumit număr de unități) a mărfurilor, specificate, în mod normal, în unitățile de măsură aplicate în comerț pentru acest produs (greutate, lungime, arie, volum, bucăți, seturi, etc.)
frontend.views.order.grid_price|Price per one,|Цена за ед.,|Prețul pe unitate,
frontend.excel.price.rub|Price per unit, RUB|Цена за ед., RUB|Prețul pe unitate, RUB
frontend.views.site.prices_and_cat|Prices and catalogues|Прайсы и каталоги|Prețuri și cataloage
frontend.views.vendor.var16|Prices are successfully changed!|Цены успешно изменены!|Prețurile au fost modificate cu succes!
common.models.forms.service_desk.priority|Priority|Приоритет|Prioritate
frontend.widgets.cart.views.cart.go_to|Proceed to check out|Перейти к оформлению|Trecerea la design
frontend.views.vendor.work|Proceed to work|Приступить к работе|Începeți lucrul
frontend.views.site.orders_processing|Processing of orders|Обработка заказов|Prelucrarea comenzilor
frontend.views.request.buying_value_two|Procurement scope:|Объем закупки:|Volumul achiziției:
frontend.views.order.view_grid.good.|Product|Товар|Mărfuri
frontend.views.request.product_category|Product category|Категория товара|Categoria de produse
frontend.views.order.product_details|Product details|Подробности о товаре|Detalii despre produs
franchise.views.catalogs.catalog.base.edit_good|Product editing|Корректировка товара|Ajustarea produsului
frontend.views.order.guides.product_added|Product is added|Продукт добавлен|Produs adaugat
frontend.views.order.var9|Product is deleted from the order!|Товар удален из заказа!|Produs scos din comandă!
frontend.views.order.good_deleted|Product is deleted!|Товар удален!|Produsul a fost șters!
frontend.views.order.del|Product is deleting from cart|Удаление товара из корзины|Eliminarea produsului din coș
market.controllers.site.no_product|Product is not found!|Продукт не найден!|Produsul nu a fost găsit!
frontend.views.order.product_name|Product name|Название продукта|Denumirea produsului
common.models.products_image|Product picture|Картинка продукта|Imaginea produsului
frontend.views.client.anal.stat|Product statistics|Статистика по товарам|Statisticile privind mărfurile
market.controllers.site.product_added|Product was added to the cart!|Продукт добавлен в корзину!|Produs adaugat în coșul de cumpărături!
frontend.controllers.vendor.good_added_two|Product was added!|Товар добавлен!|Marfa a fost adaugată!
frontend.controllers.vendor.good_added|Product was updated!|Товар обновлен!|Marfa a fost actualizată!
frontend.views.order.var6|Product will be deleted from the order. Continue? |Товар будет удален из заказа. Продолжить?|Marfa va fi ștearsă din comandă. Doriți să continuați?
frontend.views.vendor.total_goods|Products in total|Всего товаров|Total mărfuri
Профессиональная химия|Professional chemistry|Профессиональная химия|Chimie profesională
franchise.views.layouts.promo|Promo|Промо|promoționale
franchise.views.site.promo_three|Promo materials|Промо материалы|Materiale promoționale
franchise.views.site.promo_two|Promo-materials|Промо-материалы|Materiale promoționale
Пуэрто-Рико|Puerto Rico|Пуэрто-Рико|Puerto Rico
тыквенное масло|Pumpkin oil|Тыквенное масло|Ulei de dovleac
Тыква|Pumpkins|Тыква|Dovleac
frontend.views.site.sale_buy|Purchase on promo. All deals and sales in the same place. It is profitable for you and for them. |Закупайте по акции. Все акции и распродажи поставщиков в одном месте. Выгодно вам, выгодно им.|Cumpărați din stoc. Toate promoțiile și vânzările furnizorilor într-un singur loc. Favorabil pentru dvs. și benefic pentru ei.
frontend.views.request.buying_value_four|Purchase volume|Объем закупки?|Volumul de achiziții?
frontend.views.client.anal.total_buy|Purchased in total|Всего Закупок|Total Achiziții
frontend.views.user.default.buyer_three|Purchaser|Закупщик|Cumpărător
frontend.views.site.use_tenders|Purchasers make tenders, take part. Promote your products and win confidence.|Закупщики размещают тендеры, участвуйте в них. Продвигайте свои продукты и завоевывайте доверие.|Cumpărătorii crează licitații, participă la acestea. Promovați produsele și câștigați încredere.
frontend.views.request.set_self|Put them on your own in section|Проставьте их самостоятельно в разделе|Plasați-le în secțiunea
Катар|Qatar|Катар|Qatar
Перепелка|Quail|Перепелка|Prepeliță
frontend.views.order.amount|Quantity|Количество|Cantitate
franchise.views.organization.orders_quan_four|Quantity of orders|Кол-во заказов|Numărul de comenzi
franchise.views.organization.rest_quantity|Quantity of restaurants|Кол-во ресторанов|Numărul de restaurante
franchise.views.organization.vendors_quan_three|Quantity of suppliers|Кол-во поставщиков|Numărul de furnizori
frontend.views.request.views_amount|Quantity of unique views of suppliers|Кол-во уникальных просмотров поставщиков|Numărul de vizualizări unice de către furnizori
Творог|Quark |Творог|Brânză de vaci
frontend.views.layouts.main.faq|Question / Answer|Вопрос / ответ|Întrebare / răspuns
frontend.views.site.faq|Questions/ Answers|Вопросы / ответы|Întrebări / răspunsuri
market.views.site.supplier.rouble_three|RUB| руб.|ruble
Кролик|Rabbit|Кролик|Iepure
market.views.site.category.rating|Ranking|Рейтинг|Rating
рапсовое масло|Rape oil|Рапсовое масло|Ulei de rapiță
frontend.views.layouts.main.rates|Rates|Тарифы|Tarife
Готовые блюда|Ready meals|Готовые блюда|Bucate finite
frontend.views.order.receive|Receive |Получить|Pentru a obține
frontend.views.settings.receive_employee_sms|Receive SMS, if the request for cooperation is directed to the mail not to me, but to my employee|	Получать SMS, если запрос на сотрудничество направлен на почту не мне, а моему работнику|"""Primiți SMS-uri, în cazul în care cererea de cooperare este direcționată la adresa de email a angajatului meu, ci nu a mea "
frontend.views.settings.notify_receive_email|Receive email, if the request for cooperation is directed to the mail not to me, but to my employee|Получать email, если запрос на сотрудничество направлен на почту не мне, а моему работнику|Primiți e-mail, dacă cererea de cooperare este direcționată la adresa de email a angajatului meu, ci nu a mea.
frontend.views.layouts.main.accept|Receiving...|Получаем...|Primim ...
Ресепшн|Reception|Ресепшн|Recepție
красное пальмовое масло|Red palm oil|Красное пальмовое масло|Ulei de palmier roșu
franchise.views.organization.requisits|Reference details|Реквизиты|Date fiscale și bancare
franchise.views.site.clients_helper|Regional customer assistant|Помошник клиентов в регионе|Asistentul clienților din regiune
frontend.views.vendor.regions|Regions of delivery|Регионы доставки|Regiunile de livrare
franchise.views.anal.registred|Registered|Зарегистрировано|Înregistrat
franchise.views.anal.registred_for_period|Registered within period|Зарегистрировано за период|Înregistrate în perioada respectivă
frontend.views.site.complete_registration|Registration completion|Завершение регистрации|Finalizarea înregistrării
franchise.views.organization.reg_date_two|Registration date|Дата регистрации|Data înregistrării
franchise.views.anal.regs_three|Registrations|Регистрации|Înregistrări
Сопутствующие товары|Related products|Сопутствующие товары|Produse conexe
franchise.views.organization.field_two|Remark field|Поле для заметок:|Câmp pentru comentarii:
frontend.views.order.article|Remark:|Заметка:|Notă:
frontend.views.order.guides.rename_two|Rename|Переименовать|Redenumiți
frontend.views.order.guides.rename|Rename template|Переименовать шаблон|Redenumiți șabloanele
frontend.views.order.repeat|Repeat|Повторить|Repetați
frontend.views.order.repeat_order_two|Repeat order|Повторить заказ|Repetați comanda
frontend.views.user.default.pass_repeat|Repeat password|Повторите пароль|Reintroduceți parola
frontend.views.layouts.header.repeat_learning|Repeat training|Повторить обучение|Repetați pregătirea
Реплики итальянской мебели|Replicas of Italian furniture|Реплики итальянской мебели|Replici ale mobilierului italian
frontend.views.settings.text|Report the error text into the customer support service:|Сообщите текст ошибки в отдел технической поддержки: |Raportați mesajul de eroare departamentului de asistență tehnică:
frontend.views.request.request_no_four|Request No.|Заявка №|Cerere Nr.
franchise.views.site.request.edit|Request No. Is editing|Редактирование заявки №|Editarea cererii Nr.
Запрос отправлен|Request has been sent|Запрос отправлен|Cerere expediată
franchise.views.site.req|Request in technical department|Запрос техническому отделу|Cerere către departamentul tehnic
common.models.additional_email.ready.accepted_two|Request is accepting|Принятие заявки|Acceptarea cererii
common.mail.request_set_responsible.change_two|Request is changing|Изменение заявки|Modificarea cererii
franchise.views.site.request.req_opened|Request is opened|Заявка открыта|Aplicația a fost deschisă
franchise.views.layouts.req_list|Request list|Список запросов|Lista solicitărilor
market.controllers.site.vendor_request|Request to the supplier has been already sent!|Запрос поставщику уже направлен!|Solicitarea  a fost deja expediată furnizorului!
market.controllers.site.sent|Request to the supplier was sent!|Запрос поставщику отправлен!|Solicitarea expediată furnizorului!
frontend.views.layouts.main.var1|Request was successfully sent!|Заявка успешно отправлена!|Cererea a fost expediată cu succes!
frontend.views.order.requested_delivery|Requested date of delivery:|Запрошенная дата доставки:|Data livrării solicitată:
Запрошенная дата доставки: |Requested delivery date:|Запрошенная дата доставки: |Data livrării solicitată:
common.models.asked_amount|Requested quantity|Запрошенное количество|Cantitatea solicitată
frontend.views.layouts.left.requests|Requests|Заявки|cerere
frontend.views.request.req_list_four|Requests List|Список заявок|Lista ce cereri
franchise.views.site.request.rest_req_list|Requests of restaurants added by you|Список заявок подключенных вами ресторанов|Lista cererilor restaurantelor conectate de dvs.
franchise.views.site.request.rest_req|Requests of your restaurants|Заявки ваших ресторанов|Cererile restaurantelor Dvs.
franchise.views.finance.requests|Requests:|Заявки:|Cereri:
frontend.views.user.default.restore_pass|Reset password|Восстановить пароль|Recuperarea parolei
common.mail.request_new_callback.resp_date|Response date|Дата отклика|Data răspunsului
frontend.views.vendor.set_prices|Restate prices in the catalogue?|Пересчитать цены в каталоге?|Recalculați prețurile în catalog?
Ресторан|Restaurant|Ресторан|Restaurantul
common.mail.client_invite_supp.rest|Restaurant <b>{rest}</b>invites you into MixCart system!|Ресторан <b>{rest}</b> приглашает вас в систему MixCart!|Restaurantul <b> {rest} </ b> vă invită în sistemul MixCart!
franchise.views.organization.employees_list_four|Restaurant Personnel list|Список сотрудников поставщика|Lista angajaților furnizorului
franchise.views.organization.rest_list_two|Restaurant Supplier list|Список ресторанов поставщика|Lista restaurantelor furnizorului
franchise.views.site.request.rest_address|Restaurant address:|Адрес ресторана:|Adresa restaurantului:
sms.client_invite|Restaurant invites you to work via mix-cart.com|Ресторан {name} приглашает вас работать с ним через mixcart.ru|Restaurantul {name} vă invită să colaborați cu el prin intermediul mixcart.ru
frontend.views.vendor.rest_to_main|Restaurant is connected to<strong>Main catalogue</strong>|Ресторан подключен к <strong>Главному каталогу</strong>|Restaurantul este conectat la <strong> Catalogul principal </ strong>
frontend.views.client.settings.common.rest|Restaurant name|Название ресторана|Denumirea restaurantului
franchise.views.organization.rest_name_two|Restaurant name:|Название ресторана:|Denumirea restaurantului:
franchise.views.organization.requisits_three|Restaurant reference details|Реквизиты ресторана|Rechizitele restaurantului
franchise.controllers.rest_request|Restaurant request|Заявка ресторана|Cererea restaurantului
sms.client_invite_repeat|Restaurant sent you a repeat invitation  to work via mix-cart.com|{name} повторно приглашает вас работать с ним через mixcart.ru|{name} vă expediază încă o invitație de colaborare prin intermediul mixcart.ru
franchise.views.anal.rest_stat|Restaurant statistics|Статистика ресторана|Statisticile restaurantului
common.models.rel_already_exists|Restaurant with this email address is already working with you. Please check your client list!|Ресторан с таким email уже сотрудничает с вами. Проверьте список ваших клиентов!|Restaurantul cu acest e-mail cooperează deja cu dvs. Verificați lista Dvs. de clienți!
sms.add_market|Restaurant {name} found you at market.mix-cart.com and invites working via mix-cart.com|Ресторан {client_name} нашел вас на market.mixcart.ru и приглашает работать с ним через mixcart.ru|Restaurantul {client_name} v-a identificat pe site-ul market.mixcart.ru și vă invită să colaborați cu acesta prin intermediul mixcart.ru
franchise.views.site.request.rest|Restaurant:|Ресторан:|Restaurant:
market.views.site.rest.rest|Restaurants|Рестораны|Restaurante
franchise.views.organization.rest_info|Restaurants added by you and the related information|Подключенные Вами рестораны и информация о них|Restaurantele, conectate de Dvs. și informația depsre ele
franchise.views.site.rest|Restaurants:|Ресторанов:|Restaurante:
Реставрация|Restoration|Реставрация|Restaurare
frontend.views.request.back_to_list_five|Return to the request list|Вернуться к списку заявок|Înapoi la lista de cereri
Реюньон|Reunion|Реюньон|Reunire
franchise.views.finance.income_from_vendor|Revenue for form supplier|Доход за от поставщика:|Profit de la furnizor:
franchise.views.organization.watch_two|Review|Просмотр|Vizualizare
Рис|Rice|Рис|Orez
frontend.views.vendor.empl.role|Role|Роль|Rol
frontend.views.site.kucha|Roman Kucha|Роман Куча|Roman Kucha
frontend.views.site.roman|Roman Kudritsky |Роман Кудрицкий|Roman Kudritsky
Румыния|Romania|Румыния|România
Румынский лей|Romanian leu|Румынский лей|Leu românesc
Румынский лей:|Romanian leu:|Румынский лей:|Lei românești:
Корнеплоды|Root vegetables|Корнеплоды|Legume rădăcinoase
Индонезийская рупия|Ropiah Indonesia|Индонезийская рупия|Rupie indoneziană
масло шиповника|Rosehip oil|Масло шиповника|Ulei de măceșe
franchise.views.site.royalty|Royalty MixCart|Роялти MixCart|Redevențe Mixart
Руанда|Ruanda|Руанда|Rwanda
Россия|Russia|Россия|Rusia
Российский рубль|Russian rouble|Российский рубль|Rubla rusească
frontend.views.order.guides.step_one|STEP 1|ШАГ 1|PASUL 1
frontend.views.order.guides.step_two|STEP 2|ШАГ 2|PASUL 2
frontend.views.vendor.edit_cat_five|STEP 2. Catalogue editing |Шаг 2. Редактирование каталога|Pasul 2. Editarea catalogului
frontend.views.order.guides.step_three|STEP 3|ШАГ 3|PASUL 3
frontend.views.vendor.step_four_two|STEP 4|ШАГ 4|PASUL 4
frontend.views.vendor.quan|SUPPLY MULTIPLIES|КРАТНОСТЬ ПОСТАВКИ|PERIODICITATEA LIVRĂRII:
сафлоровое масло|Safflower oil|Сафлоровое масло|Ulei de șofrănel
Сен-Бартельми|Saint Barthelemy|Сен-Бартельми|Sfântul Barthelemy
Святая Елена, Остров вознесения, Тристан-да-Кунья|Saint Elena, Ascension Island, Tristan da Cunha|Святая Елена, Остров вознесения, Тристан-да-Кунья|Saint Elena, Insula Ascensiunii, Tristan da Cunha
Сент-Китс и Невис|Saint Kitts and Nevis|Сент-Китс и Невис|Sfântul Kitts și Nevis
Сент-Люсия|Saint Lucia|Сент-Люсия|Sfânta Lucia
Сент-Винсент и Гренадины|Saint Vincent and the Grenadines|Сент-Винсент и Гренадины|Saint Vincent și Grenadine
frontend.views.vendor.sells_by_clients|Sales as per customers|Продажи по клиентам|Vânzări per client
frontend.views.vendor.sells_by_goods|Sales as per products|Продажи по товарам|Vânzări  per marfă
frontend.views.vendor.sell_value_three|Sales volume|Объем продаж|Volumul de vânzări
Морская рыба|Saltwater fish|Морская рыба|Pește de mare
Самоа|Samoa|Самоа|Samoa
Сан-Марино|San Marino|Сан-Марино|San Marino
Сан-Томе и Принсипи|Sao Tome and Principe|Сан-Томе и Принсипи|Sao Tome și Principe
frontend.views.vendor.sat|Sat|Сб|Smb
Соусы, уксусы|Sauces, vinegars|Соусы, уксусы|Sosuri, oțeturi
Саудовская Аравия|Saudi Arabia|Саудовская Аравия|Arabia Saudită
Сохранить|Save|Сохранить|Salvați
frontend.views.vendor.save|Save changes|Сохранить изменения|Salvați modificările
Сохранено|Saved|Сохранено|Salvat
frontend.controllers.vendor.saved_two|Saved!|Сохранено!|Salvat!
frontend.views.order.saving_two|Saving…|Сохраняем...|Salvare...
Морской гребешок|Scallop|Морской гребешок|Escalop
common.models.value|Scope|Объем|Volum
Морской еж|Sea urchin|Морской еж|Arici de mare
облепиховое масло|Sea-buckthorn seed oil|Облепиховое масло|Ulei de cătină
Морепродукты|Seafood|Морепродукты|Fructe de mare
market.views.site.main.search|Search|Поиск|Căutare
frontend.views.client.dashboard.search|Search at MixMarket|Поиск на MixMarket|Căutare MixMarket
frontend.views.order.favorites.search|Search by name|Поиск по названию|Căutare după denumire
frontend.views.order.guides.products_search|Search by product of the selected supplier|Поиск по продуктам выбранного поставщика|Căutare conform produselor furnizorului selectat
market.views.layouts.header.search|Search for products and suppliers|Поиск товаров и поставщиков|Căutare produse și furnizori
frontend.views.order.guides.templ_search|Search in the set template|Поиск по набранному шаблону|Căutare conform șablonului tipărit
common.mail.request_pull.see_all|See all requests|Просмотреть все заявки|Vezi toate cererile
Прорoстки и кресс-салаты|Seedlings and garden cresses|Прорoстки и кресс-салаты|Răsaduri 
Семечки|Seeds|Семечки|Semințe de floarea soarelui
frontend.views.order.guides.choose_two|Select|Выбрать|Selectează
frontend.views.client.suppliers.var19|Select a currency from the list|Выберите валюту из списка|Selectați valuta din listă
frontend.views.client.suppliers.var18|Select a new directory currency|Выберите новую валюту каталога|Selectați o valută nouă a catalogului
frontend.views.user.default.choose_profile|Select business-profile|Выберите бизнес-профиль|Selectați domeniul de afaceri
frontend.views.vendor.choose_from_list|Select currency from the list|Выберите валюту из списка|Selectați valuta din listă
franchise.views.catalog.base_new.choose|Select directory|Выберите каталог|Selectați catalogul
frontend.views.order.guides.choose_product|Select his product|Выберите его продукт|Selectați produsul acestuia
frontend.views.vendor.choose_manager|Select manager|Выберите менеджера|Selectați managerul
frontend.views.vendor.choose_curr|Select new currency for the catalogue|Выберите новую валюту каталога|Selectați o valută nouă a catalogului
frontend.views.order.guides.choose_vendor|Select supplier|Выберите поставщика|Selectați furnizorul
frontend.views.order.guides.changed_two|Selected|Выбран|Selectat
franchise.views.organization.self_registered_five|Self-registered client|Клиент самостоятельно зарегистрировался|Clientul s-a înregistrat independent
common.models.self_registered|Self-registered company was added into franchise|Самостоятельно зарегистрировавшаяся организация добавлена во франчайзи|Organizația cu auto-înregistrare a fost adăugată la francizat
Полуфабрикаты и консервы из рыбы|Semi-finished and canned fish|Полуфабрикаты и консервы из рыбы|Semipreparate și conserve de pește
Полуфабрикаты и консервы из фруктов|Semi-finished and canned fruits|Полуфабрикаты и консервы из фруктов|Semipreparate și conserve de fructe
Полуфабрикаты и консервы из мяса|Semi-finished and canned meat|Полуфабрикаты и консервы из мяса|Semipreparate și conserve de carne
Полуфабрикаты и консервы из птицы|Semi-finished and canned poultry|Полуфабрикаты и консервы из птицы|Semipreparate și conserve de carne de pasare
Полуфабрикаты и консервы из морепродуктов|Semi-finished and canned seafood|Полуфабрикаты и консервы из морепродуктов|Semipreparate și conserve de fructe de mare
Полуфабрикаты и консервы из овощей|Semi-finished and canned vegetables|Полуфабрикаты и консервы из овощей|Semipreparate și conserve de legume
Сен-Мартен|Sen Marten|Сен-Мартен|Saint-Martin
frontend.views.user.forgot.send|Send|Отправить|Expediați
frontend.views.order.send_message_two|Send a message|Отправить сообщение|Trimiteți un mesaj
frontend.views.vendor.invite_client_two|Send an invitation|Отправить приглашение|Trimiteți invitația
frontend.views.client.suppliers.var10|Send the invitation again?|Отправить приглашение повторно?|Retrimiteți invitația?
frontend.views.client.suppliers.sending|Sending|Отправляем...|Trimitere. ..
common.mail.accept_restaurant_invite.sending_email|"Sending this letter automatically created account for you in <a href=""https://mixcart.ru"" style=""color: #84bf76;"">MixCart</a>, please confirm the receipt of the invitation by clicking I acknowledge receipt of the invitation."|"При отправке этого письма, автоматически был создан аккаунт для вас в <a href=""https://mixcart.ru"" style=""color: #84bf76;"">MixCart</a>, подтвердите пожалуйста получение данного приглашения, перейдя подтверждаю получение приглашения"|"La trimiterea acestei scrisori, automat a fost creat un cont pentru Dvs. în <a href=""http://mixart.ru"" style=""color: #84bf76;"">Mix Art</a>, vă rugăm să confirmați primirea prezentei invitații, accesând confirm primirea invitației..."
frontend.views.user.default.sending|Sending…|Отправляем..|Expediem...
Сенегал|Senegal|Сенегал|Senegal
frontend.views.request.sent|Sent!|Отправлено!|Exprediată!
frontend.views.vendor.sept|September|Сентябрь|Septembrie
Сербия|Serbia|Сербия|Serbia
frontend.views.vendor.percent|Set % for all range of products|Установить % на весь ассортимент|Setați% pentru întreg sortimentul
frontend.views.settings.set_avatar|Set icon|Установка аватара|Setați un avatar
Установите точку на карте, путем ввода адреса в поисковую строку.|Set the point on the map by entering the address in the search box.|Установите точку на карте, путем ввода адреса в поисковую строку.|Setați punctul pe hartă introducând adresa în caseta de căutare.
frontend.views.vendor.set|Settings|Настройки|Setări
Сейшелы|Seychelles|Сейшелы|Seychelles
Моллюски|Shellfish|Моллюски|Moluște 
Обувь|Shoes|Обувь|Pantofi
market.views.site.rest.show_more|Show again|Показать еще|Afișați mai multe
market.views.site.supplier.show_email|Show e-mail|Показать E-mail|Afișați e-mailul
market.views.site.supplier.show_phone|Show phone number|Показать телефон|Afișați telefonul
franchise.views.catalog.show_price_in_market|Show price in F-MARKET|Показывать цену в F-MARKET|Afișați prețul în F-MARKET
frontend.views.vendor.show_price|Show price on MixMarket|Показывать цену в MixMarket|Afișați prețul în MixMarket
frontend.views.request.showed_three|Shown|Показано|Afișat
Креветки|Shrimps|Креветки|Creveți
Сьерра-Леоне|Sierra Leone|Сьерра-Леоне|Sierra Leone
frontend.views.user.default.register|Sign in|зарегистрироваться|Înregistrare
frontend.views.site.register_two|Sign in, please|Зарегистрируйтесь|Înregistrează-te
frontend.views.layouts.main.reg|Sign up|Регистрация|Formular de înregistrare
frontend.views.order.signature|Signature|Подпись|Semnătura
frontend.views.order.signature:|Signature:|Подпись:|Semnătura:
frontend.controllers.vendor.subscr_two|Signed|Подписан|Semnat
common.models.subscriber|Signer|Подписант|Semnatar
franchise.views.organization.subscriber_two|Signer:|Подписант:|Semnat de:
Сингапур|Singapore|Сингапур|Singapur
Синт-Мартен|Sint-Marten|Синт-Мартен|Sint Maarten
frontend.views.layouts.main.sitemap|Site Map|Карта сайта|Harta site-ului
Словакия|Slovakia|Словакия|Slovacia
Словения|Slovenia|Словения|Slovenia
Улитки|Snails|Улитки|Melci
Мягкая мебель|Soft furniture|Мягкая мебель|Mobilier tapițat
Соломоновы острова|Solomon Islands|Соломоновы острова|Insulele Solomon
Сомали|Somalia|Сомали|Somalia
frontend.views.vendor.several_words|Some words about the company…|Несколько слов об организации ...|Câteva cuvinte despre organizație ...
frontend.views.vendor.wrong|Something went wrong |Что-то пошло не так|Ceva a mers greșit
frontend.views.vendor.sorry|Sorry for the inconvenience, but we need more information from you for the correct operation in the system<br>.|Простите за неудобства, но для корректной работы в системе<br>нам требуется получить от Вас еще несколько данных.|Ne pare rău pentru inconviniența creată, dar pentru a lucra corect în <br> sistem, trebuie să primim de la Dvs. câteva date.
Сметана|Sour cream|Сметана|Smântână
Южная Африка|South Africa|Южная Африка|Africa de Sud
Южная Джорджия и Южные Сандвичевы острова|South Georgia and the South Sandwich Islands|Южная Джорджия и Южные Сандвичевы острова|Georgia de Sud și Insulele Sandwich de Sud
Южная Осетия|South Osetia|Южная Осетия|Osetia de Sud
Южный Судан|South Sudan|Южный Судан|Sudanul de Sud
соевое масло|Soybean oil|Соевое масло|Ulei de soia
Испания|Spain|Испания|Spania
Игристое вино|Sparkling wine|Игристое вино|Vin spumant
frontend.views.client.add.set_goods|Specify products that you bought from the supplier|Укажите товары, который Вы покупаете у поставщика|Indicați produsele, pe care le achiziționați de la furnizor
Шпицберген и Ян Майен|Spitsbergen and Jan Mayen|Шпицберген и Ян Майен|Svalbard și Jan Mayen
franchise.views.site.headband|Splash screen between presentations|Заставка между презентациями|Splash Screen între prezentări
Спринг роллы|Spring rolls|Спринг роллы|Pachețel de primăvară
Шри-Ланка|Sri Lanka|Шри-Ланка|Sri Lanka
Сент-Пьер и Микелон|St. Pierre and Miquelon|Сент-Пьер и Микелон|Saint-Pierre și Miquelon
frontend.views.site.begin_now_two|Start now|начать сейчас|Începe acum
frontend.views.client.index.var11|Start working|Начать работу|Începe lucrul
franchise.views.anal.date_from_two|Starting date|Начальная Дата|Data începerii
frontend.views.order.begin_end|Starting date / Finish date|Начальная дата / Конечная дата|Data începerii / data finisării
Стартап|Startup|Стартап|Startup
api.common.models.condition|State|Состояние|Starea
franchise.views.finance.period|Statement period|Период для выписки|Perioada pentru emitere
Канцтовары|Stationery|Канцтовары|Birotica
frontend.views.vendor.stat|Statistics|Статистика|Statistici
franchise.views.anal.reg_stat|Statistics on registrations|Статистика по регистрациям|Statisticile pe înregistrări
Статус|Status|Статус|Statutul
common.models.cancel_date|Status change date|Дата смены статуса|Data schimbării statutului
frontend.views.order.stay|Stay|Остаться|Rămâneți
frontend.views.vendor.step_edit|Step 1. Edit new catalogue|Шаг 1. Редактирование каталога|Pasul 1. Editarea catalogului
frontend.views.vendor.step_one|Step 1. Make new catalogue |Шаг 1. Создание нового каталога|Pasul 1: Creați un nou catalog
frontend.views.vendor.edit_cat_seven|Step 3. Catalogue Editing|Шаг 3. Редактирование каталога|Pasul 3. Editarea catalogului
frontend.views.vendor.step_four|Step 4.  Catalogue editing|Шаг 4. Редактирование каталога|Pasul 4. Editarea catalogului
franchise.views.site.sticker|Sticker|Наклейка|Sticker
Косточковые фрукты|Stone fruits|Косточковые фрукты|Fructe sâmburoase
common.models.city_five|Street|Улица|Strada
Крепкий алкоголь|Strong alcohol|Крепкий алкоголь|Băuturi alcoolice tari
Абонентская плата|Subscription fee|Абонентская плата|Taxa abonamentului
frontend.views.vendor.total_orders|Subtotal orders|Всего заказов|Total comenzi
frontend.views.client.anal.total_vendors|Subtotal suppliers|Всего поставщиков|Total furnizori
frontend.views.user.default.success_two|Successful registration|Успешная регистрация!|Înregistrare cu succes!
Судан|Sudan|Судан|Sudan
Сахар, соль|Sugar, salt|Сахар, соль|Zahăr, sare
frontend.widgets.cart.views.sum_two|Sum|Сумма|Sumă
frontend.views.vendor.sun|Sun|Вс|Duminică
подсолнечное масло|Sunflower oil|Подсолнечное масло|Ulei de floarea-soarelui
Поставщик|Supplier|Поставщик|furnizor
common.models.vendors_id|Supplier ID|id поставщика|ID furnizor
